epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,79.8156,3.38889,5.48257,3.91329,0.00045,0.01303,0.00045,0.00018,3.29393,5.05105,3.91718,9.36709e-05,9.36709e-05,9.36709e-05
45,81.6177,3.51482,5.51063,3.94602,0.00071,0.01725,0.00097,0.00036,3.28594,5.04527,3.91051,9.30818e-05,9.30818e-05,9.30818e-05
46,83.4485,3.40687,5.4844,3.93095,0.00083,0.01748,0.00137,0.00042,3.28005,5.04018,3.88792,9.24928e-05,9.24928e-05,9.24928e-05
47,85.2139,3.43484,5.45664,3.92285,0.00036,0.01164,0.00046,0.00013,3.28108,5.03111,3.88332,9.19037e-05,9.19037e-05,9.19037e-05
48,86.9771,3.49504,5.48217,3.92109,0.8679,0.0005,0.0008,0.00047,3.2815,5.03038,3.87949,9.13147e-05,9.13147e-05,9.13147e-05
49,88.7323,3.46163,5.49685,3.89876,0.85714,0.00056,0.00094,0.00046,3.27571,5.01689,3.87397,9.07256e-05,9.07256e-05,9.07256e-05
50,90.5595,3.4003,5.47407,3.89582,0.00134,0.01703,0.00177,0.00035,3.2737,5.01013,3.87029,9.01366e-05,9.01366e-05,9.01366e-05
51,92.423,3.43086,5.39434,3.89878,0.00053,0.0161,0.00056,0.00023,3.25734,5.00289,3.85762,8.95475e-05,8.95475e-05,8.95475e-05
52,94.2819,3.41849,5.41156,3.87211,0.01802,0.03469,0.01345,0.00158,3.24376,4.98692,3.84544,8.89585e-05,8.89585e-05,8.89585e-05
53,96.058,3.35084,5.47353,3.91186,0.0039,0.03274,0.00432,0.00124,3.24671,4.96805,3.83622,8.83694e-05,8.83694e-05,8.83694e-05
54,97.8439,3.44228,5.44025,3.84829,0.00202,0.03472,0.00183,0.00051,3.23937,4.95914,3.82249,8.77804e-05,8.77804e-05,8.77804e-05
