epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,85.2499,0.63392,0.7979,1.32826,0.8619,0.91227,0.95173,0.85341,0.52467,0.67986,1.30903,0.0007228,0.0007228,0.0007228
44,87.2271,0.60293,0.77402,1.31774,0.92863,0.8835,0.96909,0.88124,0.48574,0.63236,1.28125,0.0007162,0.0007162,0.0007162
45,89.1734,0.63437,0.78019,1.34718,0.71439,0.93477,0.92055,0.8432,0.48363,0.81806,1.24688,0.0007096,0.0007096,0.0007096
46,91.0911,0.63869,0.79536,1.36829,0.90004,0.91154,0.95882,0.86559,0.49034,0.6234,1.27029,0.000703,0.000703,0.000703
47,92.9845,0.6249,0.81803,1.34774,0.94698,0.88553,0.94779,0.85323,0.51619,0.59677,1.28251,0.0006964,0.0006964,0.0006964
48,94.8687,0.63919,0.79593,1.38076,0.88744,0.91316,0.94934,0.85481,0.51807,0.61092,1.30017,0.0006898,0.0006898,0.0006898
49,96.9583,0.62464,0.77845,1.30027,0.76,0.8529,0.88169,0.7901,0.51326,0.82569,1.3144,0.0006832,0.0006832,0.0006832
50,98.9046,0.64281,0.77721,1.34877,0.86018,0.85153,0.91981,0.83972,0.48109,0.68681,1.26884,0.0006766,0.0006766,0.0006766
51,100.878,0.61491,0.74925,1.33947,0.92791,0.89042,0.9614,0.87131,0.52615,0.63945,1.27344,0.00067,0.00067,0.00067
52,102.795,0.63369,0.80039,1.36021,0.86648,0.89826,0.93129,0.84586,0.48697,0.68637,1.24376,0.0006634,0.0006634,0.0006634
53,104.694,0.62174,0.77383,1.33673,0.93206,0.87976,0.95659,0.86937,0.49086,0.59726,1.26429,0.0006568,0.0006568,0.0006568
54,106.59,0.617,0.77417,1.3041,0.87039,0.87966,0.95914,0.86014,0.53658,0.66657,1.28717,0.0006502,0.0006502,0.0006502
55,108.501,0.60524,0.70875,1.32301,0.85428,0.87626,0.93951,0.8532,0.49729,0.66173,1.24739,0.0006436,0.0006436,0.0006436
56,110.395,0.65254,0.78162,1.38426,0.91137,0.86765,0.95328,0.86494,0.49588,0.57559,1.27468,0.000637,0.000637,0.000637
57,112.415,0.6013,0.72802,1.33702,0.85641,0.88401,0.94445,0.84361,0.5225,0.64638,1.28784,0.0006304,0.0006304,0.0006304
58,114.317,0.60783,0.74024,1.29675,0.93948,0.80759,0.95365,0.86686,0.48707,0.59945,1.26098,0.0006238,0.0006238,0.0006238
59,116.19,0.64438,0.76586,1.37129,0.90926,0.9032,0.95588,0.86722,0.50308,0.5891,1.28856,0.0006172,0.0006172,0.0006172
60,118.107,0.62452,0.73446,1.33675,0.89582,0.8997,0.96683,0.88242,0.48302,0.58806,1.25262,0.0006106,0.0006106,0.0006106
61,120.011,0.62833,0.74298,1.3087,0.87138,0.91638,0.96581,0.8777,0.49218,0.59716,1.29314,0.000604,0.000604,0.000604
62,121.99,0.59875,0.70678,1.36906,0.8854,0.89214,0.95667,0.87628,0.46644,0.61063,1.24965,0.0005974,0.0005974,0.0005974
63,124.003,0.62028,0.70777,1.36099,0.84157,0.9338,0.95536,0.86956,0.50983,0.65204,1.27843,0.0005908,0.0005908,0.0005908
64,125.965,0.66525,0.74846,1.34707,0.84834,0.92272,0.9488,0.86773,0.50927,0.74779,1.25459,0.0005842,0.0005842,0.0005842
65,128.004,0.66709,0.75266,1.39106,0.86694,0.92947,0.9437,0.84127,0.50097,0.65759,1.26475,0.0005776,0.0005776,0.0005776
66,129.921,0.60756,0.67511,1.3029,0.95997,0.86086,0.96105,0.87833,0.49259,0.5712,1.24901,0.000571,0.000571,0.000571
67,131.828,0.66217,0.74117,1.37011,0.94653,0.89803,0.96246,0.87531,0.48983,0.56588,1.24019,0.0005644,0.0005644,0.0005644
68,133.762,0.61739,0.69903,1.30088,0.90678,0.93781,0.96027,0.87566,0.47546,0.56648,1.2534,0.0005578,0.0005578,0.0005578
