epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,13.6692,0.56633,0.96823,0.9667,0.67325,0.7,0.84707,0.57276,1.60313,1.49057,1.36825,2.82082e-05,2.82082e-05,2.82082e-05
40,14.016,0.82918,1.02804,1.32343,0.67325,0.7,0.84707,0.57276,1.60313,1.49057,1.36825,2.84911e-05,2.84911e-05,2.84911e-05
41,14.3809,0.71862,0.97651,1.06482,0.66811,0.66209,0.84721,0.57489,1.64933,1.51725,1.39147,2.87504e-05,2.87504e-05,2.87504e-05
42,14.6985,0.89935,1.29763,1.22586,0.66811,0.66209,0.84721,0.57489,1.64933,1.51725,1.39147,2.89861e-05,2.89861e-05,2.89861e-05
43,15.0313,0.59016,1.04413,1.132,0.69968,0.655,0.84689,0.56169,1.63961,1.55538,1.38425,2.91983e-05,2.91983e-05,2.91983e-05
44,15.3299,1.00614,2.17957,1.38165,0.69968,0.655,0.84689,0.56169,1.63961,1.55538,1.38425,2.93869e-05,2.93869e-05,2.93869e-05
45,15.6593,0.77405,1.259,1.23466,0.75344,0.52083,0.70118,0.38328,1.64987,1.63148,1.37677,2.9552e-05,2.9552e-05,2.9552e-05
46,16.0744,0.95199,1.49193,1.27997,0.75344,0.52083,0.70118,0.38328,1.64987,1.63148,1.37677,2.96935e-05,2.96935e-05,2.96935e-05
47,16.4176,1.14985,1.56584,1.46571,0.75063,0.4923,0.58819,0.3414,1.66122,1.69264,1.38688,2.98114e-05,2.98114e-05,2.98114e-05
48,16.7096,0.90744,0.81545,1.29408,0.75063,0.4923,0.58819,0.3414,1.66122,1.69264,1.38688,2.99058e-05,2.99058e-05,2.99058e-05
49,17.051,0.74425,0.96914,1.19041,0.75051,0.48753,0.573,0.32896,1.65313,1.72777,1.38836,2.99766e-05,2.99766e-05,2.99766e-05
50,17.3621,0.83552,1.05185,1.21534,0.75051,0.48753,0.573,0.32896,1.65313,1.72777,1.38836,3.00238e-05,3.00238e-05,3.00238e-05
51,17.6736,0.85156,1.02967,1.18281,0.76853,0.48333,0.53821,0.30082,1.62888,1.75985,1.37194,3.00475e-05,3.00475e-05,3.00475e-05
52,17.9991,0.75445,1.54017,1.13007,0.76853,0.48333,0.53821,0.30082,1.62888,1.75985,1.37194,3.00476e-05,3.00476e-05,3.00476e-05
53,18.3312,0.83513,0.90586,1.16531,0.76853,0.48333,0.53821,0.30082,1.62888,1.75985,1.37194,3.00242e-05,3.00242e-05,3.00242e-05
54,18.6737,0.75309,0.86993,1.29692,0.77424,0.48333,0.52355,0.28341,1.64304,1.81909,1.37858,2.99772e-05,2.99772e-05,2.99772e-05
55,19.0055,0.66129,1.22859,1.07674,0.77424,0.48333,0.52355,0.28341,1.64304,1.81909,1.37858,2.99066e-05,2.99066e-05,2.99066e-05
56,19.4689,0.86098,0.95899,1.34595,0.77424,0.48333,0.52355,0.28341,1.64304,1.81909,1.37858,2.98125e-05,2.98125e-05,2.98125e-05
57,19.8228,0.72288,0.69129,1.11356,0.76908,0.48333,0.52131,0.26508,1.6736,1.83237,1.38865,2.96948e-05,2.96948e-05,2.96948e-05
58,20.1763,0.84277,0.67081,1.29243,0.76908,0.48333,0.52131,0.26508,1.6736,1.83237,1.38865,2.95535e-05,2.95535e-05,2.95535e-05
59,20.495,0.93281,0.88394,1.12986,0.76908,0.48333,0.52131,0.26508,1.6736,1.83237,1.38865,2.93887e-05,2.93887e-05,2.93887e-05
60,20.8339,0.77333,1.19532,1.19313,0.76641,0.48333,0.51397,0.26588,1.64106,1.84736,1.37589,2.92003e-05,2.92003e-05,2.92003e-05
61,21.142,0.74358,0.84008,1.00974,0.76641,0.48333,0.51397,0.26588,1.64106,1.84736,1.37589,2.89884e-05,2.89884e-05,2.89884e-05
62,21.4744,0.58669,0.66554,0.98301,0.76641,0.48333,0.51397,0.26588,1.64106,1.84736,1.37589,2.87529e-05,2.87529e-05,2.87529e-05
63,21.8196,0.89517,1.50414,1.33233,0.76511,0.48333,0.51382,0.26483,1.6584,1.91137,1.38607,2.84938e-05,2.84938e-05,2.84938e-05
64,22.1845,0.76147,0.81588,1.22005,0.76511,0.48333,0.51382,0.26483,1.6584,1.91137,1.38607,2.82112e-05,2.82112e-05,2.82112e-05
65,22.5192,0.73011,0.78083,1.16143,0.76511,0.48333,0.51382,0.26483,1.6584,1.91137,1.38607,2.7905e-05,2.7905e-05,2.7905e-05
66,22.9783,0.76999,1.42128,1.15433,0.77181,0.48333,0.51452,0.25794,1.66117,1.99165,1.37949,2.75753e-05,2.75753e-05,2.75753e-05
67,23.2945,0.81312,1.28171,1.2358,0.77181,0.48333,0.51452,0.25794,1.66117,1.99165,1.37949,2.7222e-05,2.7222e-05,2.7222e-05
68,23.6156,0.80525,0.98963,1.13728,0.77181,0.48333,0.51452,0.25794,1.66117,1.99165,1.37949,2.68451e-05,2.68451e-05,2.68451e-05
69,24.005,0.84616,0.89782,1.20137,0.81337,0.48333,0.5182,0.26096,1.69001,2.02273,1.38378,2.64447e-05,2.64447e-05,2.64447e-05
70,24.3588,0.72112,0.66248,1.08543,0.81337,0.48333,0.5182,0.26096,1.69001,2.02273,1.38378,2.60207e-05,2.60207e-05,2.60207e-05
71,24.6739,0.73892,0.72808,1.11728,0.81337,0.48333,0.5182,0.26096,1.69001,2.02273,1.38378,2.55731e-05,2.55731e-05,2.55731e-05
72,25.0267,0.52725,0.7046,1.03818,0.82131,0.48171,0.51545,0.26079,1.7363,2.08171,1.42165,2.5102e-05,2.5102e-05,2.5102e-05
73,25.3352,0.78052,0.74672,1.17883,0.82131,0.48171,0.51545,0.26079,1.7363,2.08171,1.42165,2.46073e-05,2.46073e-05,2.46073e-05
74,25.6364,0.66748,0.679,1.1982,0.82131,0.48171,0.51545,0.26079,1.7363,2.08171,1.42165,2.40891e-05,2.40891e-05,2.40891e-05
75,25.9992,0.8014,0.64388,1.07826,0.8218,0.4804,0.51758,0.25322,1.72948,2.11122,1.41935,2.35472e-05,2.35472e-05,2.35472e-05
76,26.452,0.67919,0.65997,1.04854,0.8218,0.4804,0.51758,0.25322,1.72948,2.11122,1.41935,2.29819e-05,2.29819e-05,2.29819e-05
77,26.7603,0.7289,0.78925,1.10434,0.8218,0.4804,0.51758,0.25322,1.72948,2.11122,1.41935,2.23929e-05,2.23929e-05,2.23929e-05
78,27.1098,0.82885,0.98291,1.25361,0.82065,0.47874,0.51558,0.25698,1.71982,2.16898,1.42792,2.17805e-05,2.17805e-05,2.17805e-05
79,27.437,0.72163,0.88482,1.16425,0.82065,0.47874,0.51558,0.25698,1.71982,2.16898,1.42792,2.11444e-05,2.11444e-05,2.11444e-05
80,27.7601,0.66772,0.66083,1.02616,0.82065,0.47874,0.51558,0.25698,1.71982,2.16898,1.42792,2.04848e-05,2.04848e-05,2.04848e-05
81,28.0948,0.83464,0.88494,1.29604,0.83384,0.47467,0.5135,0.26135,1.71797,2.15597,1.42367,1.98016e-05,1.98016e-05,1.98016e-05
82,28.3982,0.68977,0.66489,1.22912,0.83384,0.47467,0.5135,0.26135,1.71797,2.15597,1.42367,1.90949e-05,1.90949e-05,1.90949e-05
83,28.7213,0.82869,0.71877,1.34403,0.83384,0.47467,0.5135,0.26135,1.71797,2.15597,1.42367,1.83646e-05,1.83646e-05,1.83646e-05
84,29.0573,0.71911,0.78473,1.09923,0.84812,0.46487,0.5114,0.25515,1.71811,2.21393,1.43669,1.76107e-05,1.76107e-05,1.76107e-05
85,29.3863,0.74522,0.90274,1.14767,0.84812,0.46487,0.5114,0.25515,1.71811,2.21393,1.43669,1.68333e-05,1.68333e-05,1.68333e-05
86,29.7004,0.67049,1.03132,1.09528,0.84812,0.46487,0.5114,0.25515,1.71811,2.21393,1.43669,1.60323e-05,1.60323e-05,1.60323e-05
87,30.1303,1.14206,1.70513,1.61812,0.84812,0.46487,0.5114,0.25515,1.71811,2.21393,1.43669,1.52077e-05,1.52077e-05,1.52077e-05
88,30.4691,0.62464,0.84516,1.07938,0.85966,0.45776,0.5201,0.25135,1.73041,2.24955,1.45305,1.43596e-05,1.43596e-05,1.43596e-05
89,30.8224,0.64434,0.67759,1.31112,0.85966,0.45776,0.5201,0.25135,1.73041,2.24955,1.45305,1.34879e-05,1.34879e-05,1.34879e-05
90,31.1429,0.85721,0.82817,1.2715,0.85966,0.45776,0.5201,0.25135,1.73041,2.24955,1.45305,1.25927e-05,1.25927e-05,1.25927e-05
91,33.9915,0.52168,0.5163,0.94519,0.85966,0.45776,0.5201,0.25135,1.73041,2.24955,1.45305,1.16739e-05,1.16739e-05,1.16739e-05
92,34.4056,0.48343,0.46933,0.83206,0.86209,0.4576,0.50965,0.24952,1.69854,2.12541,1.41007,1.07315e-05,1.07315e-05,1.07315e-05
93,34.7531,0.59038,0.47729,0.97043,0.86209,0.4576,0.50965,0.24952,1.69854,2.12541,1.41007,9.76562e-06,9.76562e-06,9.76562e-06
94,35.0922,0.58236,0.52745,1.02996,0.86209,0.4576,0.50965,0.24952,1.69854,2.12541,1.41007,8.77613e-06,8.77613e-06,8.77613e-06
95,35.3918,0.64056,0.59751,1.05106,0.86209,0.4576,0.50965,0.24952,1.69854,2.12541,1.41007,7.76308e-06,7.76308e-06,7.76308e-06
96,35.718,0.64611,0.51558,1.20987,0.8483,0.46504,0.51146,0.25329,1.74108,2.02854,1.42071,6.72648e-06,6.72648e-06,6.72648e-06
97,36.16,0.63171,0.50932,0.99266,0.8483,0.46504,0.51146,0.25329,1.74108,2.02854,1.42071,5.6663e-06,5.6663e-06,5.6663e-06
98,36.5001,0.56228,0.52425,1.09866,0.8483,0.46504,0.51146,0.25329,1.74108,2.02854,1.42071,4.58257e-06,4.58257e-06,4.58257e-06
99,36.8307,0.49185,0.47667,0.90803,0.8483,0.46504,0.51146,0.25329,1.74108,2.02854,1.42071,3.47528e-06,3.47528e-06,3.47528e-06
100,37.1723,0.47444,0.48976,1.018,0.79088,0.48333,0.52934,0.28915,1.80139,2.0623,1.47923,2.34442e-06,2.34442e-06,2.34442e-06
