epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,185.565,0.61242,0.68914,1.28288,0.83308,0.87862,0.93672,0.84917,0.54514,0.60389,1.24455,0.00083764,0.00083764,0.00083764
43,189.836,0.58677,0.66539,1.2719,0.89428,0.91514,0.93944,0.86059,0.53796,0.56603,1.27149,0.00083368,0.00083368,0.00083368
44,194.123,0.61504,0.69807,1.28413,0.90644,0.88304,0.95049,0.87056,0.51402,0.54211,1.24515,0.00082972,0.00082972,0.00082972
45,198.349,0.58919,0.66567,1.289,0.90196,0.90966,0.94708,0.86535,0.51598,0.49825,1.21729,0.00082576,0.00082576,0.00082576
46,202.645,0.59573,0.65423,1.25414,0.91725,0.87728,0.93637,0.86744,0.50653,0.5393,1.22106,0.0008218,0.0008218,0.0008218
47,206.928,0.59608,0.65649,1.25635,0.92441,0.88119,0.94686,0.87094,0.49883,0.54175,1.21338,0.00081784,0.00081784,0.00081784
48,211.295,0.56599,0.63045,1.2367,0.94658,0.86897,0.94203,0.85921,0.51277,0.52332,1.25661,0.00081388,0.00081388,0.00081388
49,215.578,0.5657,0.60855,1.24658,0.92958,0.88911,0.96151,0.86707,0.517,0.5121,1.25534,0.00080992,0.00080992,0.00080992
50,219.9,0.59997,0.64264,1.26751,0.9423,0.89522,0.96866,0.87042,0.53809,0.49406,1.25569,0.00080596,0.00080596,0.00080596
51,224.224,0.53682,0.60444,1.21232,0.91999,0.9123,0.96854,0.87384,0.53021,0.49095,1.25378,0.000802,0.000802,0.000802
52,228.528,0.55502,0.59922,1.24815,0.91152,0.89067,0.94439,0.84873,0.51609,0.55096,1.26846,0.00079804,0.00079804,0.00079804
53,232.823,0.55306,0.58447,1.249,0.92255,0.89472,0.94936,0.8602,0.5094,0.56602,1.25043,0.00079408,0.00079408,0.00079408
54,237.22,0.56371,0.60164,1.26115,0.96745,0.87322,0.95538,0.87107,0.49183,0.55127,1.2509,0.00079012,0.00079012,0.00079012
55,241.496,0.54439,0.55519,1.23612,0.98086,0.87115,0.95702,0.86256,0.51496,0.54802,1.25244,0.00078616,0.00078616,0.00078616
