epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46.2159,0.46639,0.80542,0.86867,0.81777,0.84184,0.8929,0.83949,0.4023,0.78916,0.80481,0.0005941,0.0005941,0.0005941
43,47.2736,0.38865,0.68775,0.82071,0.8823,0.92183,0.92064,0.84497,0.416,0.66331,0.80508,0.0005842,0.0005842,0.0005842
44,48.304,0.43515,0.72218,0.84977,0.86045,0.933,0.955,0.87525,0.42426,0.56242,0.805,0.0005743,0.0005743,0.0005743
45,49.3068,0.43744,0.6699,0.83984,0.87627,0.93037,0.96619,0.89898,0.42345,0.54196,0.80493,0.0005644,0.0005644,0.0005644
46,50.3593,0.40528,0.7103,0.82815,0.87193,0.94444,0.96139,0.88292,0.40341,0.5121,0.80643,0.0005545,0.0005545,0.0005545
47,51.4263,0.39347,0.64903,0.83772,0.91959,0.88745,0.96183,0.89249,0.40893,0.52774,0.8086,0.0005446,0.0005446,0.0005446
48,52.4535,0.37928,0.72064,0.83272,0.8953,0.85561,0.96089,0.88559,0.41916,0.60513,0.81061,0.0005347,0.0005347,0.0005347
49,53.4822,0.39754,0.76618,0.82945,0.87595,0.85145,0.9503,0.87944,0.42341,0.61907,0.81196,0.0005248,0.0005248,0.0005248
50,54.5041,0.39378,0.7956,0.86813,0.85868,0.8545,0.95163,0.87709,0.42358,0.61616,0.81582,0.0005149,0.0005149,0.0005149
51,55.527,0.43963,0.85349,0.86305,0.95838,0.75614,0.95269,0.88396,0.42024,0.61366,0.81575,0.000505,0.000505,0.000505
52,56.5342,0.35105,1.39184,0.72929,0.85307,0.85675,0.94956,0.89796,0.40903,0.63381,0.81492,0.0004951,0.0004951,0.0004951
53,57.6699,0.44328,0.69252,0.89839,0.85668,0.85701,0.92141,0.86129,0.40197,0.68882,0.81411,0.0004852,0.0004852,0.0004852
54,58.7139,0.40661,0.8173,0.86818,0.87795,0.90207,0.91696,0.84902,0.41395,0.77014,0.8141,0.0004753,0.0004753,0.0004753
