epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.591,3.45438,7.38305,1.66767,0,0,0,0,3.07706,6.05055,1.25341,0.000325397,0.000325397,0.000325397
2,548.479,2.85902,5.45036,1.24524,0.00023,0.02083,0.0176,0.00741,2.71145,5.30652,1.17569,0.000441349,0.000441349,0.000441349
3,799.598,2.61393,4.49985,1.1637,0.75822,0.04167,0.07449,0.02515,2.47534,4.63096,1.13061,0.000337302,0.000337302,0.000337302
